ID	HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_HYPOXIA	HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_MITOTIC_SPINDLE	HALLMARK_WNT_BETA_CATENIN_SIGNALING	HALLMARK_TGF_BETA_SIGNALING	HALLMARK_IL6_JAK_STAT3_SIGNALING	HALLMARK_DNA_REPAIR	HALLMARK_G2M_CHECKPOINT	HALLMARK_APOPTOSIS	HALLMARK_NOTCH_SIGNALING	HALLMARK_ADIPOGENESIS	HALLMARK_ESTROGEN_RESPONSE_EARLY	HALLMARK_ESTROGEN_RESPONSE_LATE	HALLMARK_ANDROGEN_RESPONSE	HALLMARK_MYOGENESIS	HALLMARK_PROTEIN_SECRETION	HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_SURFACE	HALLMARK_HEDGEHOG_SIGNALING	HALLMARK_COMPLEMENT	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	HALLMARK_PI3K_AKT_MTOR_SIGNALING	HALLMARK_MTORC1_SIGNALING	HALLMARK_E2F_TARGETS	HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V2	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_INFLAMMATORY_RESPONSE	HALLMARK_XENOBIOTIC_METABOLISM	HALLMARK_FATTY_ACID_METABOLISM	HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_GLYCOLYSIS	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	HALLMARK_P53_PATHWAY	HALLMARK_UV_RESPONSE_UP	HALLMARK_UV_RESPONSE_DN	HALLMARK_ANGIOGENESIS	HALLMARK_HEME_METABOLISM	HALLMARK_COAGULATION	HALLMARK_IL2_STAT5_SIGNALING	HALLMARK_BILE_ACID_METABOLISM	HALLMARK_PEROXISOME	HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_SPERMATOGENESIS	HALLMARK_KRAS_SIGNALING_UP	HALLMARK_KRAS_SIGNALING_DN	HALLMARK_PANCREAS_BETA_CELLS
TCGA-BF-AAOU-01A	0.683525426	0.640913213	0.679327353	0.612703073	0.536957571	0.707551852	0.5580428	0.759116754	0.667063613	0.695557125	0.601094149	0.690774154	0.504758627	0.527463705	0.657158574	0.45704165	0.742774477	0.664576365	0.61668175	0.528654684	0.499686577	0.492674995	0.553549651	0.793511776	0.622312924	0.777506653	0.690202329	0.928717004	0.747632825	0.692209243	0.446343978	0.491070636	0.643983461	0.865295413	0.637375395	0.745883335	0.670420543	0.662739178	0.528273622	0.611335679	0.557448043	0.571787275	0.543811906	0.387093742	0.602662693	0.466589563	0.209104467	0.447693136	0.072873127	0.158320977
TCGA-BF-AAOX-01A	0.546851081	0.574389203	0.649852578	0.623537656	0.555470942	0.613836054	0.407105749	0.76575014	0.697278892	0.618890554	0.603458017	0.717931061	0.488218787	0.502301866	0.59945799	0.448396152	0.739241347	0.576200332	0.501000282	0.511268408	0.435288196	0.40867306	0.472963023	0.77638691	0.637218371	0.756527253	0.726841299	0.927719289	0.818208856	0.514270697	0.317304745	0.48417912	0.653722922	0.88363002	0.605661885	0.769731595	0.648782508	0.629561364	0.478809884	0.438701376	0.543387739	0.471707642	0.476424047	0.415439509	0.617357382	0.382628286	0.212694304	0.320448533	0.123431061	0.147857684
TCGA-BF-AAP0-06A	0.641023938	0.609040259	0.668634039	0.604484046	0.524941262	0.668585938	0.598086629	0.74709692	0.667789661	0.715062624	0.607033001	0.704952937	0.474844044	0.492072367	0.615262165	0.465323181	0.725031518	0.770235375	0.7214525	0.535957609	0.476007851	0.424870725	0.612057393	0.793390048	0.659252747	0.784104007	0.69946365	0.922556487	0.774227788	0.677997766	0.493482979	0.505759688	0.632767564	0.854517172	0.61128599	0.783506076	0.640835363	0.640076952	0.530006037	0.59355537	0.558568081	0.556139253	0.618634583	0.38802053	0.603547415	0.64800872	0.196889972	0.48029988	0.051699561	0.232405089
TCGA-BF-AAP1-01A	0.520283423	0.54966778	0.613145205	0.594194045	0.543149157	0.67100334	0.392274511	0.763114337	0.683898466	0.614299148	0.663207024	0.678141559	0.455438472	0.445970445	0.610554511	0.400883123	0.748990007	0.557474466	0.473163797	0.485206428	0.414850485	0.405486869	0.463645206	0.824346357	0.614578305	0.764536348	0.698811356	0.936672772	0.805702922	0.54749128	0.294738243	0.456037534	0.622834956	0.86970405	0.606265998	0.675547894	0.609951183	0.622399894	0.519807022	0.520314095	0.518272188	0.470297226	0.450601731	0.375595365	0.582182013	0.346747874	0.211979929	0.359753125	0.054126825	0.186641158
TCGA-BF-AAP2-01A	0.560865125	0.588986435	0.646542709	0.621994579	0.51437038	0.626072651	0.456381501	0.767963604	0.68293882	0.65696661	0.627557018	0.70439818	0.501644243	0.489085472	0.628836182	0.414253586	0.707495106	0.719656328	0.610154085	0.508967813	0.454641381	0.396304436	0.508674257	0.767392019	0.654715754	0.74537878	0.707439113	0.927868858	0.790558978	0.533691733	0.365018033	0.461926426	0.639795706	0.88061339	0.58414911	0.772567141	0.635567518	0.624939553	0.533716254	0.439579703	0.55733326	0.479511219	0.514679463	0.403547231	0.623592738	0.453668943	0.224441816	0.360238668	0.108738889	0.15270004
TCGA-BF-AAP4-01A	0.634162493	0.617430005	0.660249852	0.624895814	0.574057179	0.677811013	0.52814795	0.762313638	0.713151058	0.703168503	0.621171362	0.681993388	0.498281647	0.484461143	0.612883142	0.435247137	0.741740308	0.740001892	0.663158682	0.48820997	0.434099119	0.443527468	0.550427559	0.792838094	0.666195466	0.782146742	0.736085316	0.936915083	0.795703671	0.600234183	0.416791901	0.478168157	0.631969105	0.867182174	0.603604898	0.77540615	0.653889575	0.651924983	0.523986483	0.477541342	0.564374887	0.503635115	0.552785287	0.370909648	0.606043426	0.536312926	0.21479529	0.407644292	0.045380469	0.198315358
TCGA-BF-AAP6-01A	0.570804123	0.610088609	0.654787817	0.647182016	0.542942972	0.664573649	0.438624364	0.767377017	0.728865911	0.669980086	0.593830193	0.697016958	0.465687386	0.446735851	0.618155571	0.414818808	0.766654254	0.586881847	0.528819571	0.492546642	0.428232879	0.41236156	0.507522043	0.801904543	0.6379424	0.791165821	0.756934155	0.931944299	0.784450835	0.626099536	0.348742333	0.446526501	0.630254233	0.85209722	0.628034459	0.751901136	0.643845753	0.630405761	0.532845916	0.524608856	0.550052857	0.502366457	0.50583234	0.363802634	0.609387153	0.374003105	0.237429562	0.361996036	0.059969477	0.154339255
TCGA-BF-AAP7-01A	0.649333544	0.622823016	0.666550381	0.576102977	0.532595401	0.65943157	0.592580106	0.748434714	0.628048634	0.711190473	0.633081168	0.69159166	0.51710628	0.528881153	0.596721225	0.474341529	0.676776328	0.795405734	0.710321185	0.561518073	0.497645912	0.392706836	0.584038867	0.771859133	0.649725971	0.758542532	0.650256883	0.888289414	0.7618486	0.668743932	0.472117992	0.508028895	0.62884219	0.849073688	0.61024146	0.802904018	0.701459868	0.650849049	0.522459639	0.591269372	0.553313632	0.583671622	0.573205406	0.37659466	0.607533381	0.586357289	0.164333373	0.447909556	0.141934364	0.207077621
TCGA-BF-AAP8-01A	0.563255387	0.589148708	0.618829369	0.535462956	0.496234468	0.649274495	0.44015983	0.726326371	0.5636672	0.628840642	0.568518203	0.70917263	0.453511662	0.455776946	0.607665269	0.457485318	0.725025728	0.611022406	0.525434389	0.464967858	0.372101633	0.427953033	0.503312886	0.777134153	0.598205677	0.725404481	0.594570164	0.908530391	0.749794352	0.524378835	0.32779752	0.537483439	0.660292068	0.889445211	0.586932687	0.74948672	0.615866127	0.653950582	0.504993028	0.536915092	0.535301983	0.553099127	0.484640346	0.43257762	0.630936296	0.396414741	0.155299542	0.371459377	0.062468552	0.137716206
TCGA-D3-A1Q1-06A	0.475183286	0.599194265	0.607777274	0.630824369	0.5164365	0.619183907	0.414700219	0.731534162	0.666921799	0.608942557	0.621876424	0.69599313	0.45483525	0.419100494	0.637510045	0.452166606	0.755628576	0.469455795	0.413227006	0.48899536	0.446606778	0.460260344	0.45159569	0.812397575	0.61927299	0.780509165	0.702046037	0.9455963	0.84757825	0.533071138	0.312898299	0.45298653	0.625663517	0.858358214	0.623949778	0.682016511	0.582904859	0.624898323	0.552847406	0.532893231	0.533869325	0.44110074	0.465911047	0.360462192	0.61116753	0.324871707	0.24802868	0.355679402	0.0417998	0.184461784
TCGA-D3-A1Q3-06A	0.595286554	0.58516125	0.661416503	0.653999521	0.5320373	0.706687242	0.523323838	0.71775907	0.679467308	0.704594046	0.597530485	0.682676577	0.444572522	0.447773195	0.672414322	0.423254241	0.787415842	0.707887513	0.639940012	0.513161471	0.422833557	0.472238269	0.551108071	0.784376564	0.675342022	0.780078197	0.694049455	0.919949908	0.725505702	0.585024439	0.418190054	0.466272692	0.64227409	0.852004208	0.597559389	0.77090576	0.613146846	0.623172009	0.59533246	0.482562163	0.58007537	0.485700699	0.563363004	0.390749332	0.598889259	0.535246338	0.203015953	0.413136408	0.022069898	0.168950847
