	HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_HYPOXIA	HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_MITOTIC_SPINDLE	HALLMARK_WNT_BETA_CATENIN_SIGNALING	HALLMARK_TGF_BETA_SIGNALING	HALLMARK_IL6_JAK_STAT3_SIGNALING	HALLMARK_DNA_REPAIR	HALLMARK_G2M_CHECKPOINT	HALLMARK_APOPTOSIS	HALLMARK_NOTCH_SIGNALING	HALLMARK_ADIPOGENESIS	HALLMARK_ESTROGEN_RESPONSE_EARLY	HALLMARK_ESTROGEN_RESPONSE_LATE	HALLMARK_ANDROGEN_RESPONSE	HALLMARK_MYOGENESIS	HALLMARK_PROTEIN_SECRETION	HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_SURFACE	HALLMARK_HEDGEHOG_SIGNALING	HALLMARK_COMPLEMENT	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	HALLMARK_PI3K_AKT_MTOR_SIGNALING	HALLMARK_MTORC1_SIGNALING	HALLMARK_E2F_TARGETS	HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V2	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_INFLAMMATORY_RESPONSE	HALLMARK_XENOBIOTIC_METABOLISM	HALLMARK_FATTY_ACID_METABOLISM	HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_GLYCOLYSIS	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	HALLMARK_P53_PATHWAY	HALLMARK_UV_RESPONSE_UP	HALLMARK_UV_RESPONSE_DN	HALLMARK_ANGIOGENESIS	HALLMARK_HEME_METABOLISM	HALLMARK_COAGULATION	HALLMARK_IL2_STAT5_SIGNALING	HALLMARK_BILE_ACID_METABOLISM	HALLMARK_PEROXISOME	HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_SPERMATOGENESIS	HALLMARK_KRAS_SIGNALING_UP	HALLMARK_KRAS_SIGNALING_DN	HALLMARK_PANCREAS_BETA_CELLS
TCGA-3X-AAVA-01A	0.64517284	0.640211277	0.70347952	0.601345232	0.538163175	0.781787402	0.516856391	0.757060263	0.577190565	0.701075006	0.667270359	0.737850262	0.540958177	0.535571945	0.668472525	0.441768007	0.770960731	0.610405677	0.559565864	0.555794974	0.421723858	0.379870782	0.545241188	0.776688914	0.630719678	0.748279344	0.611895405	0.937297417	0.704932281	0.670128598	0.395504587	0.600881868	0.710316087	0.945198291	0.657738815	0.768993241	0.665049012	0.670775433	0.570032255	0.752310936	0.563386519	0.597162912	0.518044856	0.479304742	0.683594756	0.458865325	0.107734598	0.463713651	0.033235858	0.164891365
TCGA-ZH-A8Y6-01A	0.588221426	0.630741239	0.712246424	0.593732543	0.491911679	0.763868046	0.456129974	0.706118995	0.500800978	0.681304624	0.692910418	0.798225831	0.510568066	0.533253901	0.694535127	0.440745096	0.841044469	0.57353319	0.489058191	0.539581803	0.3652034	0.430101075	0.54436248	0.752091838	0.632899283	0.718421872	0.504503604	0.888484245	0.609959165	0.555915854	0.305527924	0.666826765	0.746056508	0.943838876	0.618337551	0.769889856	0.679168438	0.669570763	0.580872351	0.590671001	0.623611557	0.609930889	0.486009296	0.531071398	0.692377796	0.317614169	0.136331104	0.404418483	0.05832471	0.304691272
TCGA-ZH-A8Y1-01A	0.743907474	0.661104274	0.693277439	0.631181939	0.525256332	0.843737946	0.561842446	0.708848135	0.595445635	0.718702868	0.692340899	0.70891823	0.591107734	0.571746399	0.684820731	0.465468647	0.781455761	0.685987636	0.611618419	0.576085929	0.417761941	0.35615274	0.586578357	0.763637201	0.633804574	0.74839431	0.597992447	0.935452008	0.70743771	0.720223699	0.454543864	0.568721833	0.643680407	0.836809003	0.66688069	0.788657	0.680594707	0.689896815	0.579313251	0.782311336	0.554803722	0.648414456	0.544935061	0.409218529	0.610201746	0.424127579	0.115285887	0.511344586	0.064615957	0.093813801
TCGA-ZU-A8S4-01A	0.740136066	0.674938709	0.746022355	0.662519678	0.557880082	0.78418376	0.633364897	0.762803082	0.739058952	0.771787925	0.607454645	0.727210651	0.542301291	0.586387328	0.692146495	0.426797337	0.768502225	0.751853517	0.696183121	0.595022019	0.446508655	0.377411176	0.649516578	0.809001875	0.671076984	0.835616565	0.750713344	0.984619103	0.784513476	0.793053142	0.524379977	0.612817498	0.692375869	0.889062915	0.702421198	0.855629099	0.694658932	0.667048451	0.611588565	0.74846211	0.555399557	0.655466005	0.606793054	0.412835232	0.626020444	0.598109722	0.185377903	0.547045451	0	0.175324084
TCGA-W5-AA2R-01A	0.673724844	0.600100718	0.69596517	0.599879681	0.502764867	0.760355777	0.634436526	0.740283423	0.541696996	0.708470812	0.634233306	0.7438063	0.53360151	0.523260863	0.646152181	0.437974323	0.771024253	0.773122293	0.69956143	0.529365593	0.425443238	0.365947519	0.57947368	0.771974496	0.65373851	0.753578669	0.568334433	0.94214717	0.754195581	0.624286585	0.470755229	0.592252793	0.684112265	0.89476099	0.605794594	0.802447385	0.671277667	0.687033553	0.553054573	0.71785528	0.56906973	0.571906811	0.566943716	0.483512929	0.645778274	0.577106569	0.081922355	0.473454902	0.043056837	0.146883576
TCGA-W5-AA2H-01A	0.660871454	0.564266606	0.581256222	0.562783957	0.536724927	0.649125489	0.637307024	0.778713797	0.6088306	0.715743663	0.572927955	0.661178838	0.402946159	0.434605765	0.555649483	0.406154361	0.647978165	0.807902919	0.771636976	0.500214851	0.420659248	0.315451489	0.591489568	0.747033675	0.666865108	0.718645521	0.648280834	0.933862885	0.760329368	0.512861903	0.494136071	0.446812178	0.606700772	0.848066771	0.507807342	0.792231501	0.660212229	0.62724817	0.470951113	0.434504785	0.504671165	0.41812674	0.609867066	0.343678529	0.55857492	0.744147505	0.134943227	0.432372252	0.04565349	0.093372665
TCGA-W5-AA39-01A	0.506380935	0.610624629	0.751060299	0.589229566	0.442957495	0.637270858	0.438662708	0.724631725	0.61073135	0.644956072	0.592248585	0.805342605	0.538354017	0.529148462	0.675555229	0.404544243	0.755862318	0.670582917	0.562758621	0.475813701	0.347463339	0.304733937	0.565535694	0.791935452	0.644301929	0.778584766	0.659506496	0.893074175	0.694337388	0.46066032	0.275331673	0.788838228	0.798401392	0.975504824	0.683092756	0.829917235	0.645902925	0.691052208	0.458154754	0.502984218	0.580202747	0.697166637	0.452513057	0.668741672	0.73927252	0.310361004	0.172323202	0.398975918	0.098553996	0.254311407
TCGA-W5-AA2O-01A	0.620423602	0.601933544	0.770125618	0.589999029	0.449188871	0.723390935	0.478073814	0.777928958	0.674149343	0.669385891	0.596769801	0.729071837	0.532955209	0.549255431	0.653259338	0.436792333	0.746244587	0.630811901	0.56453577	0.522501625	0.369064044	0.345008146	0.573798214	0.792148734	0.619659082	0.804900971	0.710106686	0.973733289	0.816910009	0.581766946	0.364308196	0.731662563	0.742491342	0.902224496	0.683351776	0.809185079	0.633982027	0.695507854	0.492297218	0.612444351	0.544463394	0.685472422	0.522034887	0.569752795	0.709379017	0.39898732	0.159177681	0.416639952	0.043201635	0.250562195
TCGA-3X-AAVC-01A	0.704652878	0.62757909	0.727302517	0.63445283	0.47299092	0.737512106	0.596718527	0.746755931	0.700698245	0.732067871	0.601692298	0.74163797	0.549887032	0.605821395	0.691911715	0.406209556	0.768559637	0.794187781	0.691629521	0.512955407	0.393669427	0.374234283	0.596972457	0.765669109	0.644104429	0.806048853	0.745332975	0.94956252	0.716227689	0.596822904	0.473025413	0.63383295	0.779221643	0.918611454	0.685128644	0.776608823	0.697943639	0.710971446	0.505938864	0.645982292	0.537020341	0.588824607	0.549478471	0.501849448	0.708117731	0.510670518	0.217095844	0.473712605	0.031799829	0.299609802
TCGA-3X-AAVE-01A	0.712654803	0.625879512	0.73225451	0.642493195	0.483123644	0.769407622	0.64928557	0.747724139	0.657013125	0.7300275	0.672974882	0.727814901	0.585387565	0.593891201	0.6675254	0.414290954	0.801556088	0.818875566	0.735778633	0.552761796	0.452344588	0.359489193	0.601102816	0.797308301	0.66595805	0.803157306	0.677902659	0.958908692	0.739650182	0.645616215	0.49898054	0.62055887	0.6623899	0.865568296	0.643471508	0.822598927	0.702324035	0.690895338	0.563911812	0.707614499	0.553721969	0.595841795	0.575076356	0.464080816	0.639565678	0.581029721	0.139459985	0.497262639	0.043949386	0.158311922
