Ensembl_ID	EPHA3	EPHA7	EFNB1	ADRB1	SEMA3A	NRP1	PLXNC1	SEMA4B	PLXNA4	NTN3	SEMA4G	UNC5A	SEMA5B	SEMA3B	PLXNA1	EFNB3	EPHB1	PLXND1	EPHA4	UNC5D	ADRB2	PLXNA3	SEMA4C	NTN1	PLXNB1	SEMA3E	SEMA6D	SEMA6C	CHRM1	SEMA4D	SLIT1	EPHB2	EFNA3	CHRM2	SEMA6A	EPHA2	PLXNB3	EFNA2	EFNA1	EPHB3	PLXNB2	PLXNA2	ROBO4	EPHB4	SLIT2	NRP2	SEMA3C	SEMA4F	UNC5C	EPHA8	CHRM3	EPHA1	EPHA5	SEMA3F	CHRM4	SEMA7A	DCC	ROBO2	SEMA6B	SEMA4A	ADRB3	EFNB2	EPHA6	ROBO3	SEMA3D	UNC5B	SEMA3G	SEMA5A	EFNA4	EFNA5	SLIT3	CHRM5	ROBO1	EPHB6
TCGA-02-0047-01A	1.7446292344718421	1.239370306835177	3.178024347127298	0.7077605474413025	0.3767802342401456	3.324123562795581	3.1051449564590077	3.1752295650732245	3.1723279199771475	1.02456286535544	1.9695326804931983	1.8049884096601414	2.6708889532962106	3.7657619843241505	3.664020434299234	8.067729566827277	4.97136419769181	4.980811110809236	2.721588198121385	0.38584221967803933	0.495424430498753	2.913615240412593	3.2309975840837706	5.987976230084343	5.080473791558322	0.469996040796139	3.2976164352320083	2.5854120834091394	1.4238272191367138	1.964645301478492	3.798508390056386	2.433426646669779	1.4730869725858764	0.1350637322450903	3.793838343842031	2.1677211051037517	3.279496576557115	1.6620229527947856	3.122746493766662	2.8639785110536957	5.0936415113757	2.37219722687164	2.2472546207613315	1.457392344499033	1.9243000846335425	3.119155070123046	1.5317439238755333	2.0729472876743076	0.5740871592062167	0.09040393779935318	1.2291198044167024	0.2551716035536856	0.32678457548072365	2.40253326185459	0.9390408957100084	5.004330984493686	0.7967787098494141	2.158242044290017	3.4952790032661554	1.6262847662886675	0.11622695703011027	3.1502518910049973	0.0880678825848801	2.0380469263252303	0.12303949193063424	4.363396844472768	0.8321738973591715	4.231521205438283	1.3494025511830954	0.43920559621553296	0.7457782226193346	0.06011210967007318	3.784842845805517	2.3264472142920316
TCGA-02-0055-01A	3.8878478826619736	0.23263177834247645	3.6036101978078845	0.38931494294082686	1.9828736373758562	4.393037116358512	1.9645747759855734	2.6438720276631984	1.2789611311807902	0.08891766521641838	0.46942149127691274	1.0646949198473146	1.1398477053514042	2.7917177270305	2.8767622410155687	2.276989932918157	0.8000321282069828	3.97944988179867	2.833556247182071	0.22559188254993046	0.43120851097997365	2.5920795886385073	2.9924578302490406	1.7959600355570482	2.1156116013857083	0.60182832812571	1.0491593127116894	1.6937655836506815	0.7427429727103825	1.1962095273290503	0.399442591828972	2.3648431329474624	1.2429463763838795	0.039578777699754035	1.288291419039369	3.851793430873222	1.5290268443561104	0.5945318675138231	3.0973292262583603	1.5516443115797127	4.90641436277839	2.9996069317168	0.9799382001848596	3.03743608071875	2.1408694822358516	3.8713020102438582	4.5594842470328505	1.9265167009279538	1.5440703746653175	0.022487254725717158	0.8622190944779958	0.5915163458913935	0.6773427490314348	1.5344037071032017	0.6258479545317275	2.9236491588128732	0.20401706582767046	0.38471491071761904	3.181816673773249	1.382660188158586	0.08006262769202106	4.281199895070581	0.047466211817106176	2.001408436057072	0.15684022472245507	3.691440826007213	0.3290119720011333	1.8880675692488502	2.576487145458803	1.2531634150971072	1.2712121492192643	0.10077273836390423	2.700231161545754	1.715467551892929
TCGA-02-2483-01A	1.0666081170978818	0.8124036146090371	3.7177590854435154	0.2354279230923453	1.2672968658942767	2.9241261507730303	1.4476862826874828	3.0913658647701943	1.1539704842666787	0.38050023068926914	1.4103404277847857	1.434417760501713	2.7066697095893013	1.8510104972788666	2.7677290791652602	4.764607462355619	3.072594836154785	3.6739514723993167	2.5435054850415613	1.0143336410045463	0.7201594211565413	2.409316866259334	3.6542401195855163	4.3364597809097	3.7937254265896883	0.027762006618198658	2.2048750327301683	2.944881603256598	1.9609084381108832	1.2643006137584918	2.3343166290851247	3.06706667754863	3.2489169887003864	0.051038828908595825	2.5056598370895764	2.3538007229691735	2.0545689344240823	3.1593248167118833	4.465364400021533	3.674724183342787	4.0233640635893595	2.1518623759687996	2.9978603841424123	2.083912595562121	0.9511522372536437	2.866021992785946	0.9413809952438861	1.3448466679451223	0.19154645755060473	0.05928407191783146	0.2887965575716754	0.2021086140464741	0.6220517295939021	2.2929213127082777	0.9759027502312706	3.1647133553261946	1.7360817758673666	0.4361101832236898	3.5318710093537304	1.0586303132686687	0.009130952851306787	3.6535173738064026	0.06713809369137026	2.1725568119579877	0.12205440562296814	3.3787863387465302	0.8388892621917022	3.436587299868187	1.9822653948946656	0.2070924878995046	0.1930372969493773	0.04121341739188688	3.371371633411092	0.5044352831463167
TCGA-02-2485-01A	1.5445120050592869	0.2309296764716588	4.043317108496217	2.1588769899404983	2.395405236067214	2.8425281973698127	3.1323596808181025	2.8369146491616335	2.3495415253344296	0.08963717258991696	1.0070526728510594	1.7305664997270571	3.941005485084244	2.482116524396294	2.534223123725421	4.0949087364393195	1.8669739949154693	2.922239590308278	3.3594561693741474	1.0828245843023192	0.24473965792806887	3.1805939552574114	3.468088132485202	4.520583940949679	4.620114751762525	0.36656378266948897	3.9517100730219274	2.3643905515206862	1.1036876386856367	1.2123393197654273	2.1192907909585466	4.048965262682989	1.0782469145813536	0.032730809116919946	4.585407486148044	3.582416567025873	1.575496938352477	2.1588288856454674	2.516417958640553	2.188455233557269	4.574820294669449	2.4342794797041267	3.2297386910195462	2.2968569584980285	1.8267523027547141	2.5554424050501403	0.41697696722844685	0.9689990932352094	0.20775539767083923	0.11524771969709838	1.1598690578688686	0.40356711559982633	1.2567946786118882	1.386009765302314	0.8483270801988331	2.703762951290477	2.105008009626483	2.7888779388519302	2.706133842103423	1.1672748021373094	0.030798747372855772	4.1690889100568755	0.028903578479928266	3.3601010282602273	0.059506917533057764	3.3643693305224844	1.6224748682649268	1.882487638881786	1.6631865233241654	1.415097894475083	0.1888639774341998	0.1498150346385412	4.205733792651722	1.7479789538436672
TCGA-02-2486-01A	2.421336418129263	0.5697840358714525	3.1360325024947406	0.28105230676751886	1.7836484744935706	3.0876368460626127	1.9476010350229613	4.146108928353319	1.49824927842262	0.017043454768729354	0.9249145101748533	0.06121535955454637	2.8218905115230104	2.5369650465263063	2.437950882141565	2.3898821987421126	0.354133340014801	3.6477632121965806	1.2228524523666047	0.01253746021476129	0.9296623670411129	2.4826399161670323	2.9825073162067577	4.815849651800292	2.7753232305376923	0.3871178025340217	1.1298241846710997	0.9579716705815701	0.010438766862115074	1.7831501637800888	1.299983346177836	1.7942436054529554	1.0958548620825064	0.0	1.8262812929020202	1.4036258571889388	1.8867176242472774	0.3204190784068462	3.4862425569130546	1.2945056103904022	4.505349610051547	0.7889730378541794	1.0311397456335205	2.811168208866901	0.5210358928438336	3.7521875313906285	2.2593947191636774	2.127436419959401	0.41763598845335087	0.0682621073243561	0.0815827028870609	0.29206479215034536	0.3624660978280015	1.2082816069712128	0.2666999972806747	2.8358980956068724	0.04583572280005061	0.45532237924492436	1.503247047485857	1.6886906359530054	0.011496117511913541	4.067898932671367	0.010784271237012049	2.1987676724077017	0.48047589478380476	2.8492843665077725	0.3748666014319426	2.3573742245763833	2.0942795820917217	1.1882419473604544	0.2811418449140477	0.017454087064654025	2.317448099804344	1.0575784226401346
TCGA-06-0125-01A	3.1842870999862707	0.5652597087282256	3.3925981623380066	1.309475097513432	0.3111815796261586	3.328983717072613	1.6051679265662135	3.1985705389090144	3.067705993337056	0.4339383178058896	1.4067557435747355	0.761027175451381	3.000758028233068	4.120260181578117	3.924480203071915	4.157283788725833	2.711491427319187	4.315058838912985	3.0911050382901286	0.2133656387390037	0.7035936223513211	3.885656207984425	3.6133808371759457	4.036944632271256	4.090949636071411	0.43650238566521926	4.470414873360168	2.021229848967662	0.4626659825592663	1.4661121592603235	1.7420639911814741	1.639661837160069	1.1997266303778442	0.028334581184023926	4.6366714851871365	3.2026489446116377	4.070037203192816	1.7391558384761472	3.3467596924901244	3.9186966119231923	5.409713297897732	2.4565031949851344	2.713614197186991	3.4445057007463884	0.21710798778770182	4.519155765617754	0.6962664380497278	2.1864868326083298	0.7138948946659613	0.014739133591616587	2.119523674254394	0.9715748986679487	1.674256483634961	2.424998608813768	0.35520354716167385	2.868576611668615	0.9863061703974455	3.182487517091067	2.1211534244290084	0.7589705320297438	0.017827713141046513	4.62385265643841	0.008387278168488346	2.72112791424243	0.038855345355958075	3.3724395131871425	0.98079010925007	4.670183299308928	1.5586649018643817	1.2211730968753622	0.24042689433074693	0.1094550791204018	4.356858281335663	0.9841394896516334
TCGA-06-0129-01A	0.4471168708194642	0.899603922112209	3.668156928759461	0.64361464579231	0.760983648672803	1.612356243516992	2.3255615765298185	3.133211223324792	2.0198762626006412	0.7289388716179386	1.8072341223168562	3.1079844631229077	4.9663124312975775	2.833466051696879	3.5391151335463795	5.079942682604554	4.2757806461720325	3.349078555569632	2.827071619894572	0.6936429926355636	1.9097464778464577	4.595856611592546	3.7972368486970836	4.823696354953096	5.269057750623654	0.5310844601670689	3.1560725735333257	2.8318599293511393	1.2033676658584922	2.2302604977825817	5.160235413577175	2.7749976635109834	2.051758089337411	0.14449042020134245	3.900738722181084	0.7916129444550417	5.112859591390769	2.7525465594085636	4.034117600813971	3.120382767581988	5.094482916075738	1.4805846620041387	1.9600462729527162	1.6636123649908616	0.21338064735641904	1.8262950155293889	0.5145075306879877	1.5008774400242593	0.5605273497129897	0.029822935404221766	0.11062518300460782	0.4168076109987521	0.3223746540271144	0.4714356000875773	1.5548459104010044	2.6707185904326316	2.4738562119085605	2.1667705183325072	3.6225954568668395	0.9613453575324185	0.027108840408994406	2.336710648476277	0.029635246811970148	3.788639099526001	0.8741140145776678	3.1105143317870185	1.1292045763306693	2.880649465224805	1.2911673940716346	0.23864027837771165	0.20543604507268143	0.09401373179378651	3.7790398162735217	2.469759052793141
TCGA-06-0130-01A	3.8971560583105647	0.6236854677784687	4.651445599447486	0.2347062983580202	3.1065162959218506	4.554003486752201	3.2586514889564153	2.434694416035541	2.2601910339305555	0.13115759658760434	0.5056738139809154	0.3665591681358216	1.4206173911889235	2.3139235274517467	4.6549265312072405	1.8219305292919195	0.6513361290687114	5.042324825560504	2.088407671511126	0.3021759544714114	1.714264171213186	3.26539758414856	3.154877424859933	2.827154395289715	2.1220538184428874	0.12466506568771017	2.293059722496925	1.4052187102254665	0.09033778061848985	2.2683178938563078	0.25833973675719807	3.265734991119971	0.7782747310504222	0.0	2.0482402176554557	3.585334018856513	2.1585798905650724	0.33977503757021604	2.539532658239309	1.9291118622335115	6.067939245426623	2.6847672299011327	1.9884822190279072	4.442944289231287	1.8802491549887972	3.8182545681355755	4.240725881605896	1.673027593026701	2.8893718795288383	0.011265525900876145	0.6597624915420173	1.2374327323097571	0.3797846637175436	1.5303895651475967	1.6186818184973146	3.5481955059521106	0.23723886183182902	0.2785797172341981	3.7030861440293728	2.3095856404613646	0.020396483767952285	3.628684516751038	0.0	1.9319545022413018	0.011230727491284172	4.072044723988212	0.7073898695567538	2.883636218067748	2.7732512648582444	1.828621013461356	0.8489359414876858	0.1762870294037958	4.275688406228846	1.0294116743786343
TCGA-06-0132-01A	1.0322217656652573	0.8491793364321795	2.6497378882854563	1.6369802582113409	0.3531653030939685	2.6558354008087264	2.873263804564425	2.8572941632584787	1.4345016935712231	0.10875888228635926	0.7779556320954453	3.468202217917592	1.082136355080736	3.8131400547896286	2.476953222408096	3.992790143084346	1.7917258140921206	3.94094048622968	3.0772859929834566	1.0439475407000527	1.6897487061212697	1.9231536078864204	3.033383340504761	2.648282540573869	3.824728925234069	0.6351207067831008	2.52206075150646	1.4071147213009638	3.3830520264861286	2.6196057269078588	3.115244742840727	1.3053330834746992	2.271589287793307	0.23738127836064313	2.992932882306815	1.1766869484986984	2.7061946723038868	0.45894856585251687	3.721154031037129	2.0366191363163115	4.510871225345092	1.9272354571305619	2.330689048776846	1.4431790450705062	0.879284518573799	2.415204010877042	2.2359569654627185	2.1327634050916138	1.248744746384201	0.14769613596871486	1.4433460914804637	0.27085076887820136	1.4141589600287907	1.575003395627085	1.1217903680759167	3.5257108867167757	0.2941945459414895	1.3552953743786045	3.8974269216009514	2.4842361062741882	0.0533231684884406	3.1615265501788743	0.2730285982477462	1.4963106030025948	0.3259694847168214	2.90523221691077	0.5816126068183243	2.321833169202816	1.9772286788314044	1.1219305044850894	1.068136728531089	0.043416845315102266	2.685650884702986	3.7390625938617386
TCGA-06-0138-01A	1.0651174580580112	0.49186127442941563	3.2333249417729415	0.6967333065408685	0.37693919846264623	2.533010486054453	2.0483674999845647	2.847894854154313	1.7510317938697675	0.05488518149843579	1.0291868275832745	1.409221809137095	3.1481447094300306	2.548671538732875	2.0466116672658887	4.333486332665335	2.174151458860526	3.41250999380585	2.623366905126122	0.4816575085664456	1.0259806677810932	2.2849632131626265	2.795177495888735	2.916709299363974	3.9882089558879312	0.09040567802879076	3.1905882229493723	2.103187787075747	1.1170114886980282	1.6327783553392072	2.493948575648199	2.013459773662995	1.6122886692845788	0.013288995108421998	3.646498304092791	1.7970272606871438	1.849892545053992	1.234180028473452	4.345598703724624	2.3902438088239566	3.942227629653367	1.5032309448175076	2.887912519861254	2.139701808541964	0.2986015020804747	2.215588754994538	1.10487918295818	0.6685719693675392	0.36006877186562164	0.04088653408505626	0.8875578269113387	0.4529181840950191	0.7585659070896941	2.294024355300126	0.7334073564548529	2.7923371130943373	0.9777942168585437	1.7291958050695888	2.3194156923692684	0.963284476031689	0.06144230580327616	3.1871071373365982	0.0291378551685521	2.4355915581416525	0.03628892006873694	2.994925814411377	0.40909724391582153	2.9403272570372883	1.9355058368871634	0.9532554735834047	0.10273301735350233	0.23992344978952385	3.174016723713371	1.5665751213216104
